|id|name|address_name|address_comment|lat|lon|rubrics|review_point|review_count
6272|70000001079024678|Бархан, чайхана|набережная канала Грибоедова, 5|1 этаж|59.939809|30.327764|['Рестораны']|4.5|46
6273|70000001059842414|Магадан, ресторан и банкетный зал|Мытнинская набережная, 6|1-2 этаж|59.947881|30.305721|['Рестораны', 'Доставка готовых блюд', 'Банкетные залы']|4.7|747
6274|5348552841296777|Брынза, чебуречная|Гороховая, 79|1 этаж|59.921957|30.331453|['Кафе', 'Доставка готовых блюд']|4.5|1810
6275|70000001018594295|Баязет, кафе восточной кухни|набережная реки Фонтанки, 112|1 этаж|59.920524|30.315185|['Рестораны', 'Банкетные залы', 'Доставка готовых блюд', 'Караоке-залы']|4.3|438
6276|70000001039283589|Чебуречная Салхино, ресторан грузинской кухни|Вознесенский проспект, 55|1-2 этаж|59.920457|30.307713|['Рестораны', 'Доставка готовых блюд']|4.6|2419
6277|70000001045229683|Шаверма №1, бистро|Литейный проспект, 43|1 этаж|59.939208|30.348028|['Быстрое питание', 'Доставка готовых блюд']|3.6|61
6278|70000001031709862|Fast food, бистро|переулок Ульяны Громовой, 3|цокольный этаж|59.934161|30.361483|['Быстрое питание']|4.5|29
6279|70000001044341799|Афрасиаб, кафе|Боровая, 11-13|1 этаж|59.920936|30.347513|['Кафе', 'Доставка готовых блюд']|4.4|35
6280|70000001028161133|Афрасиаб, кафе|набережная канала Грибоедова, 106|1 этаж|59.924254|30.304599|['Кафе', 'Доставка готовых блюд']|4.4|257
6281|70000001039920879|Nonna maria, ресторан итальянской кухни|Лиговский проспект, 30|5 этаж|59.927951|30.360358|['Кафе', 'Быстрое питание']|4.0|62
6282|5348552838550301|Брынза, чебуречная|Московский проспект, 86|1-2 этаж|59.902802|30.319538|['Кафе', 'Доставка готовых блюд']|4.6|1233
6283|5348552841824123|Брынза, чебуречная|Каменноостровский проспект, 10 лит А|1 этаж|59.958361|30.318316|['Кафе', 'Доставка готовых блюд']|4.4|1420
6284|70000001006576902|Мостик, арт-кафе|набережная канала Грибоедова, 102|1 этаж|59.925135|30.302224|['Кафе', 'Доставка готовых блюд', 'Бары']|4.4|338
6285|5348552840232625|Таверна Гролле, ресторан|Большой проспект В.О., 20|1 этаж|59.938769|30.282978|['Рестораны', 'Банкетные залы', 'Бары', 'Доставка готовых блюд']|4.7|1412
6286|5348552838554941|Брынза, чебуречная|Малый проспект П.С., 57|1 этаж|59.962642|30.300713|['Кафе', 'Доставка готовых блюд']|4.4|491
6287|5348552839997873|Брынза, чебуречная|Средний проспект В.О., 6|1 этаж|59.945809|30.288047|['Кафе', 'Доставка готовых блюд']|4.6|865
6288|70000001021958992|Пахвала, чайхана|Брантовская дорога, 3|3 этаж|59.939739|30.418566|['Рестораны', 'Доставка готовых блюд', 'Караоке-залы']|4.6|1151
6289|5348552838522493|Африка, арт-кафе|набережная реки Фонтанки, 130|цокольный этаж|59.917883|30.304159|['Кафе', 'Кейтеринг', 'Доставка готовых блюд']|4.4|562
6290|5348552838484009|Puberty, ресторан-пивоварня|Выборгская набережная, 47|1 этаж|59.973525|30.333686|['Рестораны', 'Бары', 'Доставка готовых блюд']|4.5|2643
6291|70000001084317528|ЧебурекМи|Тележная, 32 ст1|19-H помещение|59.924234|30.379759|['Быстрое питание']|0.0|3
6292|70000001084174620|ЧебурекМи, бистро|Московский проспект, 124|Нет|59.889497|30.320098|['Быстрое питание']|0.0|0
6293|70000001078829406|Афрасиаб, кафе|Мытнинская, 11|1 этаж|59.933691|30.377742|['Кафе', 'Доставка готовых блюд']|4.4|22
6294|70000001067680514|Middle|набережная Обводного канала, 118 лит С|2 этаж|59.906152|30.307368|['Быстрое питание']|4.4|2903
6295|70000001062518782|Бистро-шаверма|Невский проспект, 85|1 этаж|59.928582|30.361716|['Быстрое питание']|4.3|73
6296|70000001062135956|Веранда by ginza project, ресторан|проспект Маршала Блюхера, 6а к1|1 этаж|59.985414|30.366681|['Рестораны', 'Бары', 'Доставка готовых блюд']|4.4|893
6297|70000001061205756|Шаверма от Салама, бистро|улица Декабристов, 29|1 этаж|59.925937|30.292781|['Быстрое питание']|3.9|29
6298|70000001056698072|Точно сочно, кафе быстрого питания|Большая Пороховская улица, 16|1 этаж|59.953595|30.415348|['Быстрое питание', 'Доставка готовых блюд']|4.3|103
6299|70000001055010348|О, тандыр, пекарня|площадь Труда, 4Б|цокольный этаж|59.931689|30.291922|['Быстрое питание', 'Пекарни', 'Доставка готовых блюд']|4.3|12
6300|70000001055011051|Салам, кафе|7-я Красноармейская улица, 28-30|1 этаж|59.911518|30.309135|['Кафе', 'Доставка готовых блюд']|4.4|81
6301|70000001055010352|Чебуреки & пышки, чебуречная|площадь Труда, 4Б|цокольный этаж|59.931689|30.291922|['Быстрое питание', 'Пекарни']|4.1|41
6302|70000001054630089|Кафе узбекской кухни|Лизы Чайкиной, 18|1 этаж|59.955362|30.302339|['Кафе']|4.4|277
6303|70000001044268488|Бар культуры и отдыха|1-я линия В.О., 60|1 этаж|59.947848|30.282962|['Кафе', 'Бары']|4.4|334
6304|70000001037016728|Memet&pir, турецкий мясной ресторан|2-я Советская улица, 4Б|1 этаж|59.932597|30.366472|['Рестораны', 'Доставка готовых блюд']|4.4|231
6305|70000001035320914|Петрушка, кафетерий|26-я линия В.О., 7|1 этаж|59.928429|30.260643|['Кафе', 'Доставка готовых блюд']|4.4|51
6306|70000001044470307|Хочу Хинкали, кафе|Садовая улица, 56|1 этаж|59.922329|30.307231|['Кафе']|4.5|408
6307|70000001025329980|Маймун, ресторан|улица Кораблестроителей, 14|1 этаж|59.938278|30.214382|['Рестораны', 'Доставка готовых блюд', 'Суши-бары', 'Банкетные залы', 'Бары']|4.5|1505
6308|70000001021019551|Магазин выпечки из тандыра|Лиговский проспект, 130|1 этаж|59.914696|30.350923|['Быстрое питание', 'Пекарни', 'Безалкогольные напитки']|4.4|6
6309|70000001019304728|Азия Кебаб Халяль, бистро|Московский проспект, 73|1 этаж|59.905178|30.318052|['Быстрое питание']|4.2|46
6310|70000001019687181|Трактир, кафе|Блохина, 5|цокольный этаж|59.951221|30.30331|['Кафе']|4.3|130
6311|5348552840836202|Never gorget, бистро|Библиотечный переулок, 6|1 этаж|59.907422|30.296641|['Быстрое питание']|3.2|6
6312|70000001048241347|Van Gogo, ресторан грузинской кухни|набережная Крюкова канала, 17|1 этаж|59.921819|30.297441|['Кафе', 'Рестораны', 'Банкетные залы']|4.2|114
6313|70000001032915108|Амбар, кафе|Киевская, 9|1 этаж|59.903897|30.335523|['Кафе']|4.1|7
6314|70000001045022384|Афрасиаб, кафе|проспект Бакунина, 7|1 этаж|59.929863|30.376233|['Кафе', 'Доставка готовых блюд']|4.4|232
